split,bucket,n,acc,precision,recall,f1
P0_test,Easy,33,1.0,1.0,1.0,1.0
P0_test,Medium,33,0.8788,1.0,0.8095,0.8947
P0_test,Hard,34,0.7059,0.7368,0.7368,0.7368
P1_test_standard,Easy,33,1.0,1.0,1.0,1.0
P1_test_standard,Medium,33,0.8485,0.9444,0.8095,0.8718
P1_test_standard,Hard,34,0.5294,0.5652,0.6842,0.619
P2_test_standard,Easy,33,1.0,1.0,1.0,1.0
P2_test_standard,Medium,33,0.8182,0.8947,0.8095,0.85
P2_test_standard,Hard,34,0.5,0.5385,0.7368,0.6222
P1_test_simplified,Easy,33,0.9394,1.0,0.9091,0.9524
P1_test_simplified,Medium,33,0.697,1.0,0.5238,0.6875
P1_test_simplified,Hard,34,0.5294,0.6667,0.3158,0.4286
P2_test_simplified,Easy,33,0.9697,1.0,0.9545,0.9767
P2_test_simplified,Medium,33,0.697,1.0,0.5238,0.6875
P2_test_simplified,Hard,34,0.4412,0.5,0.1053,0.1739
